,id,code,description,hasChildren,section,index,crawled,country,parent_id,error_message,selectable,intervalMin,intervalMax
3951,10884,840490,Parts,False,,,,AT,784,,True,,
3952,10984,840510,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers",False,,,,AT,884,,True,,
3953,63484,840590,Parts,False,,,,AT,884,,True,,
3954,11384,840610,Turbines for marine propulsion,False,,,,AT,984,,True,,
3955,11584,,Other turbines,True,,,Done,AT,984,,,8406810000,8406820000
3956,63684,840690,Parts,True,,,Done,AT,984,,,,
3957,11884,840710,Aircraft engines,True,,,Done,AT,1084,,,,
3958,11984,,Marine propulsion engines,True,,,Done,AT,1084,,,8407210000,8407290000
3959,12084,,Reciprocating piston engines of a kind used for the propulsion of vehicles of Chapter 87,True,,,Done,AT,1084,,,8407310000,8407340000
3960,12184,840790,Other engines,True,,,Done,AT,1084,,,,
3961,12284,840810,Marine propulsion engines,True,,,Done,AT,1184,,,,
3962,12384,840820,Engines of a kind used for the propulsion of vehicles of Chapter 87,True,,,Done,AT,1184,,,,
3963,12484,840890,Other engines,True,,,Done,AT,1184,,,,
3964,12584,840910,For aircraft engines,True,,,Done,AT,1284,,,,
3965,12684,,Other,True,,,Done,AT,1284,,,8409910000,8409990000
3966,12784,,Hydraulic turbines and water wheels,True,,,Done,AT,1384,,,8410110000,8410130000
3967,63784,841090,"Parts, including regulators",False,,,,AT,1384,,True,,
3968,13184,,Turbojets,True,,,Done,AT,1484,,,8411110000,8411120000
3969,13284,,Turbopropellers,True,,,Done,AT,1484,,,8411210000,8411220000
3970,13384,,Other gas turbines,True,,,Done,AT,1484,,,8411810000,8411820000
3971,13484,,Parts,True,,,Done,AT,1484,,,8411910000,8411990000
3972,13584,841210,Reaction engines other than turbojets,True,,,Done,AT,1584,,,,
3973,13684,,Hydraulic power engines and motors,True,,,Done,AT,1584,,,8412210000,8412290000
3974,13784,,Pneumatic power engines and motors,True,,,Done,AT,1584,,,8412310000,8412390000
3975,13884,841280,Other,True,,,Done,AT,1584,,,,
3976,13984,841290,Parts,True,,,Done,AT,1584,,,,
3977,14084,,Pumps fitted or designed to be fitted with a measuring device,True,,,Done,AT,1684,,,8413110000,8413190000
3978,14184,841320,"Handpumps, other than those of subheading 8413 11 or 8413 19",True,,,Done,AT,1684,,,,
3979,14284,841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engines",True,,,Done,AT,1684,,,,
3980,14384,841340,Concrete pumps,False,,,,AT,1684,,True,,
3981,14484,841350,Other reciprocating positive displacement pumps,True,,,Done,AT,1684,,,,
3982,14584,841360,Other rotary positive displacement pumps,True,,,Done,AT,1684,,,,
3983,14684,841370,Other centrifugal pumps,True,,,Done,AT,1684,,,,
3984,14784,,Other pumps; liquid elevators,True,,,Done,AT,1684,,,8413810000,8413820000
3985,14884,,Parts,True,,,Done,AT,1684,,,8413910000,8413920000
3986,14984,841410,Vacuum pumps,True,,,Done,AT,1784,,,,
3987,15084,841420,Hand- or foot-operated air pumps,True,,,Done,AT,1784,,,,
3988,15184,841430,Compressors of a kind used in refrigerating equipment,True,,,Done,AT,1784,,,,
3989,15284,841440,Air compressors mounted on a wheeled chassis for towing,True,,,Done,AT,1784,,,,
3990,15384,,Fans,True,,,Done,AT,1784,,,8414510000,8414590000
