id,code,description,hasChildren,section,index,crawled,country
-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",TRUE,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15,,DE
-17,,"Vehicles, aircraft, vessels and associated transport equipment",TRUE,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16,,DE
-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",TRUE,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17,,DE
-19,,Arms and ammunition; parts and accessories thereof,TRUE,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18,,DE
-20,,Miscellaneous manufactured articles,TRUE,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19,,DE
-21,,"Works of art, collectors' pieces and antiques",TRUE,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20,,DE
-1,,Live animals; animal products,TRUE,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0,,GR
-2,,Vegetable products,TRUE,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1,,GR
-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,TRUE,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2,,GR
-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",TRUE,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3,,GR
-5,,Mineral products,TRUE,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4,,GR
-6,,Products of the chemical or allied industries,TRUE,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5,,GR
-7,,Plastics and articles thereof; rubber and articles thereof,TRUE,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6,,GR
-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",TRUE,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7,,GR
-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",TRUE,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8,,GR
-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,TRUE,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9,,GR
-11,,Textiles and textile articles,TRUE,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10,,GR
-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",TRUE,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11,,GR
-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",TRUE,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12,,GR
-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",TRUE,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13,,GR
-15,,Base metals and articles of base metal,TRUE,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14,,GR
-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",TRUE,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15,,GR
-17,,"Vehicles, aircraft, vessels and associated transport equipment",TRUE,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16,,GR
-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",TRUE,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17,,GR
-19,,Arms and ammunition; parts and accessories thereof,TRUE,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18,,GR
-20,,Miscellaneous manufactured articles,TRUE,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19,,GR
-21,,"Works of art, collectors' pieces and antiques",TRUE,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20,,GR
-1,,Live animals; animal products,TRUE,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0,,HU
-2,,Vegetable products,TRUE,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1,,HU
-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,TRUE,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2,,HU
-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",TRUE,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3,,HU
-5,,Mineral products,TRUE,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4,,HU
-6,,Products of the chemical or allied industries,TRUE,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5,,HU
-7,,Plastics and articles thereof; rubber and articles thereof,TRUE,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6,,HU
-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",TRUE,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7,,HU
-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",TRUE,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8,,HU
-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,TRUE,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9,,HU
-11,,Textiles and textile articles,TRUE,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10,,HU
-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",TRUE,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11,,HU
-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",TRUE,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12,,HU
-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",TRUE,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13,,HU
-15,,Base metals and articles of base metal,TRUE,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14,,HU
-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",TRUE,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15,,HU
-17,,"Vehicles, aircraft, vessels and associated transport equipment",TRUE,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16,,HU
-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",TRUE,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17,,HU
-19,,Arms and ammunition; parts and accessories thereof,TRUE,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18,,HU
-20,,Miscellaneous manufactured articles,TRUE,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19,,HU
-21,,"Works of art, collectors' pieces and antiques",TRUE,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20,,HU
-1,,Live animals; animal products,TRUE,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0,,IE
-2,,Vegetable products,TRUE,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1,,IE
-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,TRUE,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2,,IE
-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",TRUE,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3,,IE
-5,,Mineral products,TRUE,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4,,IE
-6,,Products of the chemical or allied industries,TRUE,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5,,IE
-7,,Plastics and articles thereof; rubber and articles thereof,TRUE,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6,,IE
-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",TRUE,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7,,IE
-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",TRUE,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8,,IE
-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,TRUE,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9,,IE
-11,,Textiles and textile articles,TRUE,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10,,IE
-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",TRUE,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11,,IE
-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",TRUE,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12,,IE
-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",TRUE,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13,,IE
-15,,Base metals and articles of base metal,TRUE,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14,,IE
-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",TRUE,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15,,IE
-17,,"Vehicles, aircraft, vessels and associated transport equipment",TRUE,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16,,IE
-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",TRUE,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17,,IE
-19,,Arms and ammunition; parts and accessories thereof,TRUE,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18,,IE
-20,,Miscellaneous manufactured articles,TRUE,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19,,IE
-21,,"Works of art, collectors' pieces and antiques",TRUE,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20,,IE
-1,,Live animals; animal products,TRUE,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0,,IT
-2,,Vegetable products,TRUE,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1,,IT
-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,TRUE,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2,,IT
-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",TRUE,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3,,IT
-5,,Mineral products,TRUE,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4,,IT
-6,,Products of the chemical or allied industries,TRUE,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5,,IT
-7,,Plastics and articles thereof; rubber and articles thereof,TRUE,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6,,IT
-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",TRUE,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7,,IT
-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",TRUE,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8,,IT
-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,TRUE,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9,,IT
-11,,Textiles and textile articles,TRUE,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10,,IT
-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",TRUE,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11,,IT
-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",TRUE,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12,,IT
-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",TRUE,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13,,IT
-15,,Base metals and articles of base metal,TRUE,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14,,IT
-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",TRUE,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15,,IT
-17,,"Vehicles, aircraft, vessels and associated transport equipment",TRUE,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16,,IT
-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",TRUE,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17,,IT
-19,,Arms and ammunition; parts and accessories thereof,TRUE,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18,,IT
-20,,Miscellaneous manufactured articles,TRUE,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19,,IT
-21,,"Works of art, collectors' pieces and antiques",TRUE,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20,,IT
-1,,Live animals; animal products,TRUE,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0,,LV
-2,,Vegetable products,TRUE,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1,,LV
-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,TRUE,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2,,LV
-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",TRUE,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3,,LV
-5,,Mineral products,TRUE,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4,,LV
-6,,Products of the chemical or allied industries,TRUE,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5,,LV
-7,,Plastics and articles thereof; rubber and articles thereof,TRUE,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6,,LV
-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",TRUE,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7,,LV
-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",TRUE,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8,,LV
-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,TRUE,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9,,LV
-11,,Textiles and textile articles,TRUE,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10,,LV
-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",TRUE,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11,,LV
-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",TRUE,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12,,LV
-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",TRUE,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13,,LV
-15,,Base metals and articles of base metal,TRUE,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14,,LV
-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",TRUE,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15,,LV
-17,,"Vehicles, aircraft, vessels and associated transport equipment",TRUE,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16,,LV
-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",TRUE,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17,,LV
-19,,Arms and ammunition; parts and accessories thereof,TRUE,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18,,LV
-20,,Miscellaneous manufactured articles,TRUE,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19,,LV
-21,,"Works of art, collectors' pieces and antiques",TRUE,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20,,LV
-1,,Live animals; animal products,TRUE,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0,,LT
-2,,Vegetable products,TRUE,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1,,LT
-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,TRUE,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2,,LT
-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",TRUE,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3,,LT
-5,,Mineral products,TRUE,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4,,LT
-6,,Products of the chemical or allied industries,TRUE,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5,,LT
-7,,Plastics and articles thereof; rubber and articles thereof,TRUE,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6,,LT
-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",TRUE,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7,,LT
-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",TRUE,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8,,LT
-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,TRUE,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9,,LT
-11,,Textiles and textile articles,TRUE,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10,,LT
-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",TRUE,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11,,LT
-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",TRUE,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12,,LT
-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",TRUE,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13,,LT
-15,,Base metals and articles of base metal,TRUE,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14,,LT
-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",TRUE,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15,,LT
-17,,"Vehicles, aircraft, vessels and associated transport equipment",TRUE,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16,,LT
-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",TRUE,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17,,LT
-19,,Arms and ammunition; parts and accessories thereof,TRUE,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18,,LT
-20,,Miscellaneous manufactured articles,TRUE,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19,,LT
-21,,"Works of art, collectors' pieces and antiques",TRUE,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20,,LT
-1,,Live animals; animal products,TRUE,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0,,LU
-2,,Vegetable products,TRUE,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1,,LU
-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,TRUE,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2,,LU
-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",TRUE,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3,,LU
-5,,Mineral products,TRUE,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4,,LU
-6,,Products of the chemical or allied industries,TRUE,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5,,LU
-7,,Plastics and articles thereof; rubber and articles thereof,TRUE,"{'description': 'SECTION VII', 'chapterFrom': '39', 'chapterTo': '40'}",6,,LU
-8,,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",TRUE,"{'description': 'SECTION VIII', 'chapterFrom': '41', 'chapterTo': '43'}",7,,LU
-9,,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",TRUE,"{'description': 'SECTION IX', 'chapterFrom': '44', 'chapterTo': '46'}",8,,LU
-10,,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,TRUE,"{'description': 'SECTION X', 'chapterFrom': '47', 'chapterTo': '49'}",9,,LU
-11,,Textiles and textile articles,TRUE,"{'description': 'SECTION XI', 'chapterFrom': '50', 'chapterTo': '63'}",10,,LU
-12,,"Footwear, headgear, umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",TRUE,"{'description': 'SECTION XII', 'chapterFrom': '64', 'chapterTo': '67'}",11,,LU
-13,,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",TRUE,"{'description': 'SECTION XIII', 'chapterFrom': '68', 'chapterTo': '70'}",12,,LU
-14,,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",TRUE,"{'description': 'SECTION XIV', 'chapterFrom': '71', 'chapterTo': '71'}",13,,LU
-15,,Base metals and articles of base metal,TRUE,"{'description': 'SECTION XV', 'chapterFrom': '72', 'chapterTo': '83'}",14,,LU
-16,,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",TRUE,"{'description': 'SECTION XVI', 'chapterFrom': '84', 'chapterTo': '85'}",15,,LU
-17,,"Vehicles, aircraft, vessels and associated transport equipment",TRUE,"{'description': 'SECTION XVII', 'chapterFrom': '86', 'chapterTo': '89'}",16,,LU
-18,,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",TRUE,"{'description': 'SECTION XVIII', 'chapterFrom': '90', 'chapterTo': '92'}",17,,LU
-19,,Arms and ammunition; parts and accessories thereof,TRUE,"{'description': 'SECTION XIX', 'chapterFrom': '93', 'chapterTo': '93'}",18,,LU
-20,,Miscellaneous manufactured articles,TRUE,"{'description': 'SECTION XX', 'chapterFrom': '94', 'chapterTo': '96'}",19,,LU
-21,,"Works of art, collectors' pieces and antiques",TRUE,"{'description': 'SECTION XXI', 'chapterFrom': '97', 'chapterTo': '99'}",20,,LU
-1,,Live animals; animal products,TRUE,"{'description': 'SECTION I', 'chapterFrom': '01', 'chapterTo': '05'}",0,,MT
-2,,Vegetable products,TRUE,"{'description': 'SECTION II', 'chapterFrom': '06', 'chapterTo': '14'}",1,,MT
-3,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,TRUE,"{'description': 'SECTION III', 'chapterFrom': '15', 'chapterTo': '15'}",2,,MT
-4,,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",TRUE,"{'description': 'SECTION IV', 'chapterFrom': '16', 'chapterTo': '24'}",3,,MT
-5,,Mineral products,TRUE,"{'description': 'SECTION V', 'chapterFrom': '25', 'chapterTo': '27'}",4,,MT
-6,,Products of the chemical or allied industries,TRUE,"{'description': 'SECTION VI', 'chapterFrom': '28', 'chapterTo': '38'}",5,,MT
