Unnamed: 0,id,code,description,hasChildren,section,index,crawled,country,parent_id,error_message,selectable,intervalMin,intervalMax,tariff_crawled,tariff_crawled_error_message
23171,470084,8483303860,"Bearing housing of a kind used in turbochargers:<br><br>- of precision-cast grey cast iron complying with standard DIN EN 1561 or precision-cast ductile cast iron complying with DIN EN 1560,<br><br>- with oil chambers,<br><br>- without bearings,<br><br>- with a diameter of 50 mm or more, but not more than 250 mm,<br><br>- with a height of 40 mm or more, but not more than 150 mm,<br><br>- whether or not with water chambers and connectors<br>",FALSE,,,,AT,419884,,TRUE,,,,
23172,470184,8483303899,Other,FALSE,,,,AT,419884,,TRUE,,,,
23173,470484,8483402950,"Gear set of cycloid gear type with:<br>-	a rated torque of 50 Nm or more but not more than 9 000 Nm,<br>-	standard ratios of 1:50 or more but not more than 1:475,<br>-	lost motion of not more than one arc minute,<br>-	an efficiency of more than 80 %<br>of a kind used in robot arms<br>",FALSE,,,,AT,421284,,TRUE,,,,
23174,470584,8483402960,"Epicyclic gearing, of a kind used in driving hand-held power tools with:<br>- a rated torque of 25 Nm or more, but not more than 70 Nm,<br>- standard gear ratios of 1:12.7 or more, but not more than 1:64.3",FALSE,,,,AT,421284,,TRUE,,,,
23175,470684,8483402970,"Cast steel planetary cage, with:<br> <br>-external or internal toothing in a diametral pitch standard,<br> <br>-27 teeth or more, but not more than 70 teeth,<br> <br>-a diameter of 300 mm or more, but not more than 725 mm,<br> <br>-a length of 225 mm or more, but not more than 800 mm,<br> <br>-3 or 4 planetary gears,<br> <br>-a hardness of 40 HRC or more, but not more than 45 HRC<br>",FALSE,,,,AT,421284,,TRUE,,,,
23176,470784,8483402989,Other,FALSE,,,,AT,421284,,TRUE,,,,
23177,542585,8501109920,"Worm axis motor for automotive electric seat adjustment applications:<br>-consisting of a permanently excited DC motor with a worm wheel,<br>-whether brushed or brushless,<br>-whether or not with electronic control unit,<br>-whether or not with Hall Effect Sensor,<br>-with a nominal voltage of 8 V or more but not more than 16 V,<br>-with a rated output mechanical power not exceeding 35 W, and<br>-with a specified temperature range from -40 °C to 160 °C, <br>for use in the manufacture of automotive components for car's seats",FALSE,,,,AT,365785,,TRUE,,,,
23178,542685,8501109930,"Linear actuator for automotive electric seat adjustment applications:<br>-consisting of a permanently excited DC motor with an integrated gear mechanism and leadscrew, <br>-whether brushed or brushless, <br>-whether or not with electronic control unit, <br>-whether or not with Hall Effect Sensor, <br>-with a nominal voltage of 8 V or higher but not higher than 16 V, <br>-with a rated output mechanical power not exceeding 20 W, and<br>-with a specified temperature range from -40 °C to 160 °C, <br>for use in the manufacture of automotive components for car's seats",FALSE,,,,AT,365785,,TRUE,,,,
23179,542785,8501109940,"Rotary actuator for automotive electric seat adjustment applications:<br>-consisting of a permanently excited DC motor with an integrated gear mechanism,<br>-whether brushed or brushless,<br>-whether or not with electronic control unit,<br>-whether or not with Hall Effect Sensor,<br>-with a nominal voltage of 8 V or more but not more than 16 V,<br>-with a rated output mechanical power not exceeding 35 W, and<br>-with a specified temperature range from -40 °C to 160 °C,<br>for use in the manufacture of automotive components for car's seats",FALSE,,,,AT,365785,,TRUE,,,,
23180,542885,8501109950,"Electric (DC) motor powering height adjusting with:<br> <br>-a rated output mechanical power not exceeding 35 W,<br> <br>-frame integration with a length of 156 mm, a height of 59 mm, a thickness of 36 mm and a weight of 500 g,<br> <br>-a stall torque of 45 Nm and ultimate torque of 200 Nm,<br> <br>-a maximum current of 15 A,<br> <br>-no load speed of 7 RPM or more but not more than 10 RPM,<br> <br>-a rotation speed of 4 000 RPM or more but not more than 5 600 RPM,<br> <br>-a maximum noise level of 42 dB(A),<br> <br>-a maximum angular backlash up to 3 degrees, and<br> <br>-a 8 tooth pinion module,<br>for use in the manufacture of automotive components for car's seats",FALSE,,,,AT,365785,,TRUE,,,,
23181,678785,8501109956,"DC Motor:<br>-	with a speed rotation of not more than 7 000 rpm without load,<br>-	with a nominal voltage of not more than 18 V,<br>-	with a maximum power of 24 W,<br>-	for a specific temperature range from -40°C to 160°C,<br>-	with or without a gear connection,<br>-	with or without a mechanical attachment interface,<br>-	with 2 electrical connections,<br>-	with a maximum torque of 100 Nm<br>",FALSE,,,,AT,365785,,TRUE,,,,
23182,679085,8501109958,"DC Motor :<br> <br>- with a speed rotation of not more than 6500 rpm (without load),<br> <br>- with a nominal  voltage of 12 V (± 4 V),<br> <br>- with a maximal power below than 20 W,<br> <br>- with a specified temperature range from -40°C to 160°C,<br> <br>- with a worm gear drive,<br> <br>- with a mechanical attachment interface,<br> <br>- with 2 electrical connections,<br> <br>- with a maximum torque of 75 Nm<br>",FALSE,,,,AT,365785,,TRUE,,,,
23183,679385,8501109960,DC motor<br> <br>- with a rotor speed of 3 500 rpm or more but not more than 5 000 rpm loaded and not more than 6 500 rpm when not loaded<br> <br>- with a power supply voltage of 100 V or more but not more than 240 V<br>for use in the manufacture of electric fryers,FALSE,,,,AT,365785,,TRUE,,,,
23184,679485,8501109964,"DC motor to control angular position of the flap to adjust gas flow in the Air Throttle and EGR valve:<br> <br>-with Ingress Protection (IP) standard of IP69,<br> <br>-with a rotor speed of not more than 6 500 rpm when not loaded,<br> <br>-with a rated voltage of 12,0 V (± 0,1),<br> <br>-of a specified temperature range of - 40 °C or more but not more than  165 °C,<br> <br>-with or without a connecting pinion,<br> <br>-with or without an engine connector,<br> <br>-with or without a flange,<br> <br>-with a diameter of not more than 40 mm (not including the flange),<br> <br>-with an overall height of not more than 90 mm (from the base to the pinion)<br>",FALSE,,,,AT,365785,,TRUE,,,,
23185,679685,8501109965,"Electric turbocharger actuator, with:<br> <br>- a DC motor,<br> <br>- an integrated gear mechanism,<br> <br>- a (pulling)force of 200 N or more at a minimum of 140°C elevated ambient temperature,<br> <br>- a (pulling) force of 250 N or more in each position of its stroke,<br> <br>- an effective stroke of 15 mm or more but not more than 25 mm,<br> <br>- with or without an on-board diagnostics interface<br>",FALSE,,,,AT,365785,,TRUE,,,,
23186,679885,8501109970,"DC stepping motor, with<br> <br> <br>- a two-phase winding, <br> <br>- a rated voltage of 9 V or more, but not more than 16,0 V<br> <br>- of a specified temperature range covering at least - 40 °C to + 105 °C<br> <br>- with or without connecting pinion<br> <br>- with or without motor drive connector<br>",FALSE,,,,AT,365785,,TRUE,,,,
23187,680185,8501109975,"Permanently excited DC motor with<br>-	a multiple-phase winding,<br>-	an external diameter of 24 mm or more but not more than 38 mm,<br>-	a rated speed of not more than 12 000 rpm,<br>-	a power supply voltage of 8 V or more but not more than 27 V,<br>-	with or without a pulley,<br>-	with or without a gear wheel<br>",FALSE,,,,AT,365785,,TRUE,,,,
