stt,area,page,cntyCd,baseYy,reffNoNm,prlstClsfSrno
9662,EU,5,FR,2024,FRBTIFR-BTI-2024-03746,561
9663,EU,5,DE,2024,DEBTI28172/24-1,3656
9664,EU,5,DE,2024,DEBTI22369/24-1,2017
9665,EU,5,FR,2024,FRBTIFR-BTI-2024-01795,121
9666,EU,5,DE,2024,DEBTI26630/24-1,3168
9667,EU,5,DE,2024,DEBTI30502/24-1,4228
9668,EU,5,FR,2024,FRBTIFR-BTI-2024-02606,254
9669,EU,5,FR,2024,FRBTIFR-BTI-2024-04454,915
9670,EU,5,HU,2024,HUBTIHU190000-2024-3226536830,17
9671,EU,5,FR,2024,FRBTIFR-BTI-2024-04444,911
9672,EU,5,DE,2024,DEBTI48674/23-1,5956
9673,EU,5,DE,2024,DEBTI23715/24-2,2362
9674,EU,5,DE,2024,DEBTI24071/24-1,2456
9675,EU,5,DE,2024,DEBTI26698/24-1,3181
9676,EU,5,FR,2024,FRBTIFR-BTI-2024-04627,999
9677,EU,5,FR,2024,FRBTIFR-BTI-2024-03868,615
9678,EU,5,DE,2024,DEBTI32624/24-1,4730
9679,EU,5,BE,2024,BEBTIDT.50.016.838,77
9680,EU,5,DE,2024,DEBTI44837/23-2,5908
9681,EU,5,ES,2024,ESBTIESBTI2024SOL620,132
9682,EU,5,CZ,2024,CZBTI31/187112/2024-580000-04/01,44
9683,EU,5,DE,2024,DEBTI27457/24-1,3427
9684,EU,5,DE,2024,DEBTI33686/24-1,4980
9685,EU,5,DE,2024,DEBTI13069/24-1,330
9686,EU,5,DE,2024,DEBTI32954/24-1,4822
9687,EU,5,FR,2024,FRBTIFR-BTI-2024-01874,140
9688,EU,5,DE,2024,DEBTI19450/24-1,1352
9689,EU,5,DE,2024,DEBTI20241/24-1,1542
9690,EU,5,DE,2024,DEBTI31336/24-1,4412
9691,EU,5,CZ,2024,CZBTI45/132434/2024-580000-04/01,240
9692,EU,5,FR,2024,FRBTIFR-BTI-2024-02704,277
9693,EU,5,FR,2024,FRBTIFR-BTI-2024-04662,1009
9694,EU,5,DE,2024,DEBTI26628/24-1,3167
9695,EU,5,DE,2024,DEBTI28202/24-1,3668
9696,EU,5,DE,2024,DEBTI19397/24-1,1341
9697,EU,5,FR,2024,FRBTIFR-BTI-2024-02720,279
9698,EU,5,FR,2024,FRBTIFR-BTI-2024-04446,912
9699,EU,5,DE,2024,DEBTI10780/24-1,56
9700,EU,5,DE,2024,DEBTI13805/24-1,392
9701,EU,5,DE,2024,DEBTI26602/24-1,3154
9702,EU,5,CZ,2024,CZBTI47/088962/2024-580000-04/01,292
9703,EU,5,DE,2024,DEBTI30167/24-1,4163
9704,EU,5,DE,2024,DEBTI29989/24-1,4095
9705,EU,5,NL,2024,NLBTI2024-0557,185
9706,EU,5,DE,2024,DEBTI27458/24-1,3428
9707,EU,5,FR,2024,FRBTIFR-BTI-2024-03442,450
9708,EU,5,DE,2024,DEBTI12115/24-1,205
9709,EU,5,NL,2024,NLBTI2024-0566,191
9710,EU,5,DE,2024,DEBTI26703/24-1,3182
9711,EU,5,DE,2024,DEBTI20923/24-1,1710
9712,EU,5,DE,2024,DEBTI33006/24-1,4833
9713,EU,5,DE,2024,DEBTI12034/24-1,198
9714,EU,5,NL,2024,NLBTI2024-0530,156
9715,EU,5,DE,2024,DEBTI20001/24-1,1476
9716,EU,5,DE,2024,DEBTI22656/24-1,2088
9717,EU,5,DE,2024,DEBTI50807/23-1,5997
9718,EU,5,DE,2024,DEBTI23715/24-3,2363
9719,EU,5,BE,2024,BEBTIDT.50.016.839,78
9720,EU,5,DE,2024,DEBTI28494/24-1,3731
9721,EU,5,FR,2024,FRBTIFR-BTI-2024-03869,616
9722,EU,5,DE,2024,DEBTI33520/24-1,4942
9723,EU,5,FR,2024,FRBTIFR-BTI-2024-04628,1000
9724,EU,5,DE,2024,DEBTI30178/24-1,4174
9725,EU,5,DE,2024,DEBTI29307/24-1,3917
9726,EU,5,FR,2024,FRBTIFR-BTI-2024-03835,599
9727,EU,5,FR,2024,FRBTIFR-BTI-2024-04025,674
9728,EU,5,DE,2024,DEBTI33520/24-2,4943
9729,EU,5,DE,2024,DEBTI28640/24-1,3776
9730,EU,5,DE,2024,DEBTI26697/24-1,3180
9731,EU,5,DE,2024,DEBTI26603/24-1,3155
9732,EU,5,DE,2024,DEBTI23715/24-1,2361
9733,EU,5,DE,2024,DEBTI7626/24-2,6153
9734,EU,5,FR,2024,FRBTIFR-BTI-2024-04624,996
9735,EU,5,SK,2024,SKBTI352406/24/159,17
9736,EU,5,DE,2024,DEBTI35410/24-1,5329
9737,EU,5,FR,2024,FRBTIFR-BTI-2024-04443,910
9738,EU,5,FR,2024,FRBTIFR-BTI-2024-03967,655
9739,EU,5,DE,2024,DEBTI19401/24-1,1343
9740,EU,5,DE,2024,DEBTI27818/24-1,3557
9741,EU,5,ES,2024,ESBTIESBTI2024SOL601,120
9742,EU,5,DE,2024,DEBTI23714/24-3,2360
9743,EU,5,DE,2024,DEBTI17607/24-1,942
9744,EU,5,DE,2024,DEBTI44837/23-3,5909
9745,EU,5,DE,2024,DEBTI23714/24-2,2359
9746,EU,5,DE,2024,DEBTI19312/24-1,1334
9747,EU,5,DE,2024,DEBTI28203/24-1,3669
9748,EU,5,FR,2024,FRBTIFR-BTI-2024-04625,997
9749,EU,5,FR,2024,FRBTIFR-BTI-2024-02235,194
9750,EU,5,ES,2024,ESBTIESBTI2024SOL603,121
9751,EU,5,BE,2024,BEBTIDT.50.016.200,54
9752,EU,5,FR,2024,FRBTIFR-BTI-2024-03434,442
9753,EU,5,DE,2024,DEBTI28827/24-1,3803
9754,EU,5,DE,2024,DEBTI20204/24-1,1532
9755,EU,5,FR,2024,FRBTIFR-BTI-2024-04457,918
9756,EU,5,DE,2024,DEBTI22459/24-1,2031
9757,EU,5,DE,2024,DEBTI28191/24-1,3661
9758,EU,5,DE,2024,DEBTI27821/24-1,3558
9759,EU,5,DE,2024,DEBTI31340/24-1,4419
9760,EU,5,DE,2024,DEBTI30771/24-1,4286
9761,EU,5,DE,2024,DEBTI29450/24-1,3957
9762,EU,5,DE,2024,DEBTI32150/24-1,4621
9763,EU,5,DE,2024,DEBTI32091/24-1,4603
9764,EU,5,DE,2024,DEBTI29230/24-1,3898
9765,EU,5,DE,2024,DEBTI29790/24-1,4043
9766,EU,5,DE,2024,DEBTI32101/24-1,4607
9767,EU,5,DE,2024,DEBTI26681/24-1,3178
9768,EU,5,DE,2024,DEBTI25080/24-1,2730
9769,EU,5,DE,2024,DEBTI29051/24-1,3852
9770,EU,5,DE,2024,DEBTI28560/24-1,3751
9771,EU,5,DE,2024,DEBTI24910/24-1,2671
9772,EU,5,DE,2024,DEBTI25200/24-1,2773
9773,EU,5,DE,2024,DEBTI28111/24-1,3644
9774,EU,5,DE,2024,DEBTI22756/24-1,2116
9775,EU,5,DE,2024,DEBTI20864/24-1,1703
9776,EU,5,DE,2024,DEBTI47703/23-1,5938
9777,EU,5,DE,2024,DEBTI47700/23-1,5937
9778,EU,5,RO,2024,ROBTI2024/004742,54
9779,EU,5,ES,2024,ESBTIESBTI2024SOL583,108
9780,EU,5,DE,2024,DEBTI22351/24-1,2013
9781,EU,5,RO,2024,ROBTI2024/004739,51
9782,EU,5,FR,2024,FRBTIFR-BTI-2024-03914,632
9783,EU,5,DE,2024,DEBTI1226/24-2,222
9784,EU,5,DE,2024,DEBTI18557/24-1,1166
9785,EU,5,DE,2024,DEBTI30230/24-1,4187
9786,EU,5,DE,2024,DEBTI21305/24-1,1773
9787,EU,5,DE,2024,DEBTI27117/24-1,3289
9788,EU,5,DE,2024,DEBTI50813/23-1,5999
9789,EU,5,DE,2024,DEBTI18225/24-1,1075
9790,EU,5,DE,2024,DEBTI7697/24-1,6157
9791,EU,5,DE,2024,DEBTI17764/24-1,959
9792,EU,5,DE,2024,DEBTI34539/24-1,5158
9793,EU,5,DE,2024,DEBTI8568/24-1,6214
9794,EU,5,DE,2024,DEBTI8463/24-1,6211
9795,EU,5,DE,2024,DEBTI24730/24-1,2588
9796,EU,5,CZ,2024,CZBTI51/164305/2024-580000-04/01,415
9797,EU,5,IT,2024,ITBTIIT922104-2024-BTI0203,115
9798,EU,5,DE,2024,DEBTI28241/24-1,3683
9799,EU,5,DE,2024,DEBTI26648/24-1,3171
9800,EU,5,DE,2024,DEBTI17924/24-1,1001
9801,EU,5,DE,2024,DEBTI26049/24-1,3000
9802,EU,5,DE,2024,DEBTI23710/24-2,2347
9803,EU,5,DE,2024,DEBTI50921/22-1,6004
9804,EU,5,FR,2024,FRBTIFR-BTI-2024-03728,552
9805,EU,5,DE,2024,DEBTI32409/23-1,4709
9806,EU,5,DE,2024,DEBTI22368/24-1,2016
9807,EU,5,FR,2024,FRBTIFR-BTI-2024-04009,669
9808,EU,5,FR,2024,FRBTIFR-BTI-2024-02479,243
9809,EU,5,DE,2024,DEBTI23710/24-3,2348
9810,EU,5,FR,2024,FRBTIFR-BTI-2024-01976-03,163
9811,EU,5,DE,2024,DEBTI27442/24-1,3417
9812,EU,5,DE,2024,DEBTI29060/24-1,3855
9813,EU,5,DE,2024,DEBTI20845/24-1,1698
9814,EU,5,DE,2024,DEBTI32189/24-1,4632
9815,EU,5,DE,2024,DEBTI27118/24-1,3290
9816,EU,5,DE,2024,DEBTI21303/24-1,1772
9817,EU,5,DE,2024,DEBTI47704/23-1,5939
9818,EU,5,DE,2024,DEBTI27513/24-1,3463
9819,EU,5,DE,2024,DEBTI8335/24-1,6197
9820,EU,5,DE,2024,DEBTI27483/24-1,3441
9821,EU,5,FR,2024,FRBTIFR-BTI-2024-03611,506
9822,EU,5,CZ,2024,CZBTI31/186449/2024-580000-04/01,42
9823,EU,5,DE,2024,DEBTI23944/24-1,2441
9824,EU,5,DE,2024,DEBTI45635/23-1,5916
9825,EU,5,DE,2024,DEBTI41066/23-1,5861
9826,EU,5,DE,2024,DEBTI20051/24-1,1501
9827,EU,5,DE,2024,DEBTI36391/24-1,5509
9828,EU,5,DE,2024,DEBTI29427/24-1,3944
9829,EU,5,DE,2024,DEBTI5327/24-1,6041
9830,EU,5,DE,2024,DEBTI27870/24-1,3578
9831,EU,5,DE,2024,DEBTI23767/24-1,2384
9832,EU,5,DE,2024,DEBTI18863/24-1,1212
9833,EU,5,CZ,2024,CZBTI50/133146/2024-580000-04/01,371
9834,EU,5,DE,2024,DEBTI25382/24-1,2814
9835,EU,5,FR,2024,FRBTIFR-BTI-2024-04370,871
9836,EU,5,FR,2024,FRBTIFR-BTI-2024-01976-04,164
9837,EU,5,DE,2024,DEBTI28002/24-1,3617
9838,EU,5,DE,2024,DEBTI27912/24-1,3599
9839,EU,5,DE,2024,DEBTI22172/24-1,1966
9840,EU,5,DE,2024,DEBTI27524/24-1,3470
9841,EU,6,PL,2024,PLBTIWIT-2024-000915,130
9842,EU,6,DE,2024,DEBTI31959/24-1,4564
9843,EU,6,DE,2024,DEBTI47721/23-1,5940
9844,EU,6,DE,2024,DEBTI23711/24-3,2351
9845,EU,6,FR,2024,FRBTIFR-BTI-2024-04472,924
9846,EU,6,DE,2024,DEBTI17926/24-1,1003
9847,EU,6,DE,2024,DEBTI27138/24-1,3299
9848,EU,6,DE,2024,DEBTI27434/24-1,3411
9849,EU,6,IE,2024,IEBTIIENEN004-2024-BTI220,188
9850,EU,6,DE,2024,DEBTI23816/24-1,2395
9851,EU,6,ES,2024,ESBTIESBTI2024SOL590,112
9852,EU,6,DE,2024,DEBTI3199/24-1,4576
9853,EU,6,ES,2024,ESBTIESBTI2024SOL568,105
9854,EU,6,CZ,2024,CZBTI50/133147/2024-580000-04/01,372
9855,EU,6,DE,2024,DEBTI18988/24-1,1241
9856,EU,6,DE,2024,DEBTI47724/23-1,5941
9857,EU,6,DE,2024,DEBTI7636/24-1,6154
9858,EU,6,DE,2024,DEBTI47491/23-1,5935
9859,EU,6,DE,2024,DEBTI6694/24-1,6119
9860,EU,6,DE,2024,DEBTI13854/24-1,401
9861,EU,6,FR,2024,FRBTIFR-BTI-2024-01976-02,162
9862,EU,6,DE,2024,DEBTI23632/24-1,2321
9863,EU,6,DE,2024,DEBTI28692/24-1,3783
9864,EU,6,DE,2024,DEBTI27141/24-1,3301
9865,EU,6,FR,2024,FRBTIFR-BTI-2024-03669,524
9866,EU,6,DE,2024,DEBTI28022/24-1,3630
9867,EU,6,ES,2024,ESBTIESBTI2024SOL360,22
9868,EU,6,DE,2024,DEBTI23760/24-1,2382
9869,EU,6,ES,2024,ESBTIESBTI2024SOL556,96
9870,EU,6,DE,2024,DEBTI27491/24-1,3447
9871,EU,6,FR,2024,FRBTIFR-BTI-2024-02274,202
9872,EU,6,FR,2024,FRBTIFR-BTI-2024-01976-01,161
9873,EU,6,DE,2024,DEBTI8304/24-1,6196
9874,EU,6,FR,2024,FRBTIFR-BTI-2024-02422,233
9875,EU,6,FR,2024,FRBTIFR-BTI-2024-03761,569
9876,EU,6,DE,2024,DEBTI17905/24-1,993
9877,EU,6,DE,2024,DEBTI12829/24-1,278
9878,EU,6,DE,2024,DEBTI47515/23-1,5936
9879,EU,6,PL,2024,PLBTIWIT-2024-000916,131
9880,EU,6,DE,2024,DEBTI50460/23-1,5985
9881,EU,6,DE,2024,DEBTI27369/24-1,3368
9882,EU,6,FR,2024,FRBTIFR-BTI-2024-03273,406
9883,EU,6,DE,2024,DEBTI27493/24-1,3448
9884,EU,6,DE,2024,DEBTI27424/24-1,3403
9885,EU,6,DE,2024,DEBTI27484/24-1,3442
9886,EU,6,DE,2024,DEBTI19520/24-1,1378
9887,EU,6,CZ,2024,CZBTI34/180171/2024-580000-04/01,128
9888,EU,6,BE,2024,BEBTIDT.50.014.506,3
9889,EU,6,CZ,2024,CZBTI50/121776/2024-580000-04/01,367
9890,EU,6,PL,2024,PLBTIWIT-2024-000913,128
9891,EU,6,DE,2024,DEBTI15867/24-1,657
9892,EU,6,DE,2024,DEBTI23710/24-1,2346
9893,EU,6,DE,2024,DEBTI29749/24-1,4034
9894,EU,6,DE,2024,DEBTI28992/24-1,3842
9895,EU,6,DE,2024,DEBTI27478/24-1,3438
9896,EU,6,ES,2024,ESBTIESBTI2024SOL334,21
9897,EU,6,DK,2024,DKBTI24-0614598,61
9898,EU,6,FR,2024,FRBTIFR-BTI-2024-02267,199
9899,EU,6,DE,2024,DEBTI32256/24-1,4661
9900,EU,6,DE,2024,DEBTI26258/24-1,3052
9901,EU,6,CY,2024,CYBTI022/2024,15
9902,EU,6,DE,2024,DEBTI24750/24-1,2594
